,Unnamed: 0,payment_date,volume,is_workday,lag_30,lag_61,lag_91,ewm_7,ewm_30,ewm_91
207,207,2025-08-27,424.0,1,224.0,422.0,430.0,430.6358294171465,516.2689357412557,567.7322560507696
208,208,2025-08-28,552.0,1,760.0,292.0,855.0,460.9768720628599,518.5741656934329,567.3902504844485
209,209,2025-08-29,813.0,1,0.0,267.0,371.0,548.9826540471449,537.5693808099857,572.7295928652214
210,210,2025-08-30,507.0,0,939.0,396.0,0.0,538.4869905353587,535.5971626932125,571.3006886724992
211,211,2025-08-31,889.0,0,428.0,974.0,899.0,626.115242901519,558.3973457452632,578.2071954404884
212,212,2025-09-01,445.0,1,217.0,785.0,687.0,580.8364321761392,551.0813879552463,575.311386843956
213,213,2025-09-02,177.0,1,457.0,338.0,131.0,479.8773241321044,526.9471048613594,566.6524436516961
214,214,2025-09-03,303.0,1,573.0,508.0,987.0,435.6579930990783,512.4989045477233,560.9208687897027
215,215,2025-09-04,0.0,1,331.0,868.0,858.0,326.7434948243087,479.43445909303153,548.7269368594917
216,216,2025-09-05,146.0,1,450.0,0.0,833.0,281.5576211182315,457.9225585063844,539.9720034495027
217,217,2025-09-06,724.0,0,743.0,779.0,683.0,392.16821583867363,475.08884505435964,543.9726120701657
218,218,2025-09-07,182.0,0,533.0,259.0,371.0,339.6261618790052,456.1798873089171,536.1036422425534
219,219,2025-09-08,214.0,1,735.0,737.0,978.0,308.21962140925393,440.5553784502773,529.101389150324
220,220,2025-09-09,263.0,1,943.0,463.0,217.0,296.91471605694045,429.10019274380784,523.3165763427083
221,221,2025-09-10,355.0,1,0.0,792.0,159.0,311.4360370427053,424.31953514743316,519.6575203352581
222,222,2025-09-11,209.0,1,462.0,521.0,0.0,285.827027782029,410.42795223469557,512.9040959801439
223,223,2025-09-12,408.0,1,555.0,417.0,315.0,316.37027083652174,410.2713101550378,510.6235721544886
224,224,2025-09-13,707.0,0,126.0,114.0,603.0,414.0277031273913,429.41509659664825,514.8926249337388
225,225,2025-09-14,284.0,0,734.0,806.0,391.0,381.5207773455435,420.03347746138064,509.87322004387494
226,226,2025-09-15,198.0,1,994.0,921.0,449.0,335.6405830091576,405.7087369800012,503.09336743422546
227,227,2025-09-16,0.0,1,689.0,529.0,557.0,251.73043725686819,379.53397975548506,492.15655509869885
228,228,2025-09-17,689.0,1,848.0,0.0,676.0,361.0478279426511,399.4995294486796,496.43576042264016
229,229,2025-09-18,167.0,1,966.0,377.0,734.0,312.53587095698833,384.4995598068293,489.2741134569306
230,230,2025-09-19,766.0,1,358.0,800.0,519.0,425.9019032177413,409.1124914321952,495.28989359917125
231,231,2025-09-20,435.0,0,402.0,557.0,689.0,428.176427413306,410.7826532752794,493.9792437383197
232,232,2025-09-21,797.0,0,830.0,755.0,129.0,520.3823205599795,435.6999014510679,500.56665148313886
233,233,2025-09-22,284.0,1,0.0,761.0,936.0,461.2867404199846,425.91281103487,495.8586807987228
234,234,2025-09-23,397.0,1,426.0,632.0,0.0,445.21505531498843,424.04746838745905,493.7095790422288
235,235,2025-09-24,248.0,1,363.0,422.0,238.0,395.91129148624134,412.68956720117137,488.3680664543543
236,236,2025-09-25,429.0,1,393.0,715.0,696.0,404.18346861468103,413.7418531881926,487.07745631404225
237,237,2025-09-26,307.0,1,424.0,916.0,422.0,379.8876014610108,406.8552820147608,483.1627290028674
238,238,2025-09-27,305.0,0,552.0,224.0,292.0,361.1657010957581,400.2839734976795,479.28962619845726
239,239,2025-09-28,0.0,0,813.0,760.0,267.0,270.87427582181857,374.45920101395825,468.8702864984908
240,240,2025-09-29,621.0,1,507.0,0.0,396.0,358.4057068663639,390.36505901305776,472.1774541833062
241,241,2025-09-30,823.0,1,889.0,939.0,974.0,474.5542801497729,418.27699068963466,479.80403126627783
242,242,2025-10-01,465.0,1,445.0,428.0,785.0,472.1657101123297,421.2913783870776,479.4822044996196
243,243,2025-10-02,666.0,1,177.0,217.0,338.0,520.6242825842473,437.0790313943629,483.53693918441047
244,244,2025-10-03,753.0,1,303.0,457.0,508.0,578.7182119381855,457.46102936892015,489.39483181083637
245,245,2025-10-04,616.0,0,0.0,573.0,868.0,588.0386589536391,467.6893500547963,492.1471180758182
246,246,2025-10-05,102.0,0,146.0,331.0,0.0,466.5289942152293,444.0964887609385,483.6656589872134
247,247,2025-10-06,694.0,1,724.0,450.0,779.0,523.396745661422,460.21929593765213,488.2381446614044
248,248,2025-10-07,967.0,1,182.0,743.0,259.0,634.2975592460665,492.91482523199716,498.64601108180864
249,249,2025-10-08,748.0,1,214.0,533.0,737.0,662.7231694345498,509.37193328154575,504.0667499713345
250,250,2025-10-09,208.0,1,263.0,735.0,463.0,549.0423770759123,489.9285827472525,497.6305162763055
251,251,2025-10-10,0.0,1,355.0,943.0,792.0,411.78178280693425,458.32028708613944,486.8124615746467
252,252,2025-10-11,987.0,0,209.0,0.0,521.0,555.5863371052008,492.42865566122725,497.6861037143283
